mtry,tree_depth,learn_rate,.metric,.estimator,mean,n,std_err,.config
7,1,0.01,rsq,standard,0.3193905938479707,10,0.022479204667977922,Model19
10,1,0.01,mae,standard,0.4624761157313048,10,0.013520938068501636,Model20
10,1,0.01,rmse,standard,0.6067723142350586,10,0.018090174114721563,Model20
10,1,0.01,rsq,standard,0.3195204517249786,10,0.022475238446050264,Model20
3,3,0.01,mae,standard,0.4167398203538144,10,0.011433831965267496,Model21
3,3,0.01,rmse,standard,0.5465564774532393,10,0.015761818917478042,Model21
3,3,0.01,rsq,standard,0.43759487700670957,10,0.018786163219804534,Model21
5,3,0.01,mae,standard,0.4081102867218969,10,0.011259947285010749,Model22
5,3,0.01,rmse,standard,0.535259424880059,10,0.014759800434161422,Model22
5,3,0.01,rsq,standard,0.4581253855493937,10,0.01738629126236766,Model22
7,3,0.01,mae,standard,0.40602100718138234,10,0.011253588523166158,Model23
7,3,0.01,rmse,standard,0.5334677432195059,10,0.014371947821762212,Model23
7,3,0.01,rsq,standard,0.4616388534453927,10,0.01747920742110077,Model23
10,3,0.01,mae,standard,0.40521233877142143,10,0.01112292289235791,Model24
10,3,0.01,rmse,standard,0.5331826949874157,10,0.014472797600115595,Model24
10,3,0.01,rsq,standard,0.4613710378537811,10,0.015356274975415408,Model24
3,5,0.01,mae,standard,0.384694414489551,10,0.009893726156714267,Model25
3,5,0.01,rmse,standard,0.5100776955876981,10,0.014297105735410778,Model25
3,5,0.01,rsq,standard,0.5208548584729445,10,0.018869503242505338,Model25
5,5,0.01,mae,standard,0.36978698490183337,10,0.009647072704315968,Model26
5,5,0.01,rmse,standard,0.49318329656317594,10,0.013413226199144137,Model26
5,5,0.01,rsq,standard,0.5448961511833794,10,0.015527975090946524,Model26
7,5,0.01,mae,standard,0.3668938825301723,10,0.009629667550549479,Model27
7,5,0.01,rmse,standard,0.49107235160341844,10,0.01266794235806937,Model27
7,5,0.01,rsq,standard,0.5441058831268607,10,0.0183037888890413,Model27
10,5,0.01,mae,standard,0.3657857403239777,10,0.009218741597074163,Model28
10,5,0.01,rmse,standard,0.4892569222371378,10,0.012885698246618678,Model28
10,5,0.01,rsq,standard,0.5415767479468075,10,0.019294248415548887,Model28
3,7,0.01,mae,standard,0.3627152689992661,10,0.009347446673378964,Model29
3,7,0.01,rmse,standard,0.49025376435317686,10,0.013968540388649598,Model29
3,7,0.01,rsq,standard,0.5681605002263399,10,0.016927337358322202,Model29
5,7,0.01,mae,standard,0.3345037965310307,10,0.00912162217603755,Model30
5,7,0.01,rmse,standard,0.4550227717835836,10,0.013940197790706012,Model30
5,7,0.01,rsq,standard,0.6197508499181248,10,0.016845861815844927,Model30
7,7,0.01,mae,standard,0.32734976814949157,10,0.009465904004446761,Model31
7,7,0.01,rmse,standard,0.4473045146508845,10,0.014676195701538424,Model31
7,7,0.01,rsq,standard,0.6264100058010819,10,0.017036682877346738,Model31
10,7,0.01,mae,standard,0.3288967734551732,10,0.007856695925182304,Model32
10,7,0.01,rmse,standard,0.45543888551789036,10,0.011778367572276072,Model32
10,7,0.01,rsq,standard,0.6014017601696893,10,0.015094054718534138,Model32
3,1,0.001,mae,standard,0.5083916770806441,10,0.012981280835458292,Model33
3,1,0.001,rmse,standard,0.693210320912382,10,0.02005877357576068,Model33
3,1,0.001,rsq,standard,0.2225265178503851,10,0.017808043773409395,Model33
5,1,0.001,mae,standard,0.5084513908975863,10,0.01272985889677749,Model34
5,1,0.001,rmse,standard,0.6906085994909973,10,0.01948777412968094,Model34
5,1,0.001,rsq,standard,0.21201542354516523,10,0.01965690890365451,Model34
7,1,0.001,mae,standard,0.5091721591482112,10,0.012534340037318502,Model35
7,1,0.001,rmse,standard,0.6908166545243248,10,0.019248049749734084,Model35
7,1,0.001,rsq,standard,0.19663002772107316,10,0.021613181301055957,Model35
10,1,0.001,mae,standard,0.5093115177933004,10,0.012526602425194782,Model36
10,1,0.001,rmse,standard,0.691048179320369,10,0.01925153895571904,Model36
10,1,0.001,rsq,standard,0.19565909085381916,10,0.02245767770587241,Model36
3,3,0.001,mae,standard,0.4921429101464467,10,0.0129531536843013,Model37
3,3,0.001,rmse,standard,0.6668915283843235,10,0.019796989644013656,Model37
3,3,0.001,rsq,standard,0.3620504238016402,10,0.022002100006479664,Model37
5,3,0.001,mae,standard,0.4868723097262004,10,0.012774486669704538,Model38
5,3,0.001,rmse,standard,0.6565423213885628,10,0.019007015878932165,Model38
5,3,0.001,rsq,standard,0.3549914915735558,10,0.02403819434863766,Model38
7,3,0.001,mae,standard,0.48583191310356527,10,0.01255162383883239,Model39
7,3,0.001,rmse,standard,0.6527380454149228,10,0.018814839014203538,Model39
7,3,0.001,rsq,standard,0.33844668114653054,10,0.025996897604515606,Model39
10,3,0.001,mae,standard,0.4855419315544478,10,0.012694813508759891,Model40
10,3,0.001,rmse,standard,0.6503767651476627,10,0.0188167208996645,Model40
10,3,0.001,rsq,standard,0.32397430640626246,10,0.028135162152038554,Model40
3,5,0.001,mae,standard,0.48144028254638965,10,0.012597263560125199,Model41
3,5,0.001,rmse,standard,0.6513058492114089,10,0.01908543986882388,Model41
3,5,0.001,rsq,standard,0.4458686147256147,10,0.021379129040757543,Model41
5,5,0.001,mae,standard,0.47208820422049735,10,0.01238036638909073,Model42
5,5,0.001,rmse,standard,0.6337104628145027,10,0.01836916789886782,Model42
5,5,0.001,rsq,standard,0.4604325551208618,10,0.022353561612786916,Model42
7,5,0.001,mae,standard,0.46951225088789106,10,0.012433258197527981,Model43
7,5,0.001,rmse,standard,0.6271710823600328,10,0.01834572063536325,Model43
7,5,0.001,rsq,standard,0.4456803241609876,10,0.025126446568814645,Model43
10,5,0.001,mae,standard,0.46831005332125897,10,0.012326702808130445,Model44
10,5,0.001,rmse,standard,0.6216134478611371,10,0.01815200012660506,Model44
10,5,0.001,rsq,standard,0.40726522237311247,10,0.026184536541006942,Model44
3,7,0.001,mae,standard,0.4748542125923058,10,0.012393163026260656,Model45
3,7,0.001,rmse,standard,0.6433957238034156,10,0.01901372215338496,Model45
3,7,0.001,rsq,standard,0.49645698019477186,10,0.021171476942828213,Model45
5,7,0.001,mae,standard,0.4609905568908769,10,0.011751834876772877,Model46
5,7,0.001,rmse,standard,0.6193034513256647,10,0.01773640535750246,Model46
5,7,0.001,rsq,standard,0.5384173120225942,10,0.020596238011326953,Model46
7,7,0.001,mae,standard,0.45643240219641945,10,0.011531399447983343,Model47
7,7,0.001,rmse,standard,0.6096813848951852,10,0.017675051037569466,Model47
7,7,0.001,rsq,standard,0.5214841686207055,10,0.021793562118433658,Model47
10,7,0.001,mae,standard,0.45759599194730355,10,0.01137223142972442,Model48
10,7,0.001,rmse,standard,0.607173242018079,10,0.017182841443869633,Model48
10,7,0.001,rsq,standard,0.4466602982074828,10,0.02336836514103976,Model48
