mod_num,time_to_create,n_yes_train,n_no_train,n_yes_test,n_no_test,ntrees,max_depth,min_rows,distribution,learn_rate,learn_rate_annealing,min_split_improvement,sample_rate,nbins,col_sample_rate_per_tree,histogram_type,gini,auc,threshold_max_f1,sensitivity_max_f1,specificity_max_f1,precision_max_f1,accuracy_max_f1,threshold_98_specificity,sensitivity_98_specificity,specificity_98_specificity,precision_98_specificity,accuracy_98_specificity
23,7.579999999999927,83,233,33,67,100,10,1,bernoulli,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.257988920836811,0.8787878787878788,0.8059701492537313,0.6904761904761905,0.83,0.27479227918618293,0.48484848484848486,0.9850746268656716,0.9411764705882353,0.82
24,17.729999999999563,83,233,33,67,300,10,1,bernoulli,0.001,0.99,1e-4,0.632,4,0.8,RoundRobin,1,1,0.255624900954661,0.8787878787878788,0.8059701492537313,0.6904761904761905,0.83,0.2742003782054784,0.5454545454545454,0.9850746268656716,0.9473684210526315,0.84
25,3.0100000000002183,83,233,33,67,100,1,1,bernoulli,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.7442990847510214,0.8721495423755107,0.273999198045741,0.6363636363636364,0.7910447761194029,0.6,0.74,Inf,0.18181818181818182,0.9701492537313433,0.75,0.71
26,3.5100000000002183,83,233,33,67,300,1,1,bernoulli,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.7442990847510214,0.8721495423755107,0.273999062272125,0.6363636363636364,0.7910447761194029,0.6,0.74,Inf,0.18181818181818182,0.9701492537313433,0.75,0.71
27,3.7000000000007276,83,233,33,67,100,3,1,bernoulli,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.9505662133512591,0.9752831066756296,0.219465123088737,0.9696969696969697,0.6865671641791045,0.6037735849056604,0.78,0.37256178007761337,0.30303030303030304,0.9850746268656716,0.9090909090909091,0.76
28,3.7000000000007276,83,233,33,67,300,3,1,bernoulli,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.9505662133512591,0.9752831066756296,0.21946523705797,0.9696969696969697,0.6865671641791045,0.6037735849056604,0.78,0.37256141472092424,0.30303030303030304,0.9850746268656716,0.9090909090909091,0.76
29,5.770000000000437,83,233,33,67,100,7,1,bernoulli,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,1,1,0.20526069103009,0.9090909090909091,0.8059701492537313,0.6976744186046512,0.84,0.3446058641302633,0.45454545454545453,0.9850746268656716,0.9375,0.81
30,5.829999999999927,83,233,33,67,300,7,1,bernoulli,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,1,1,0.205260208058582,0.9090909090909091,0.8059701492537313,0.6976744186046512,0.84,0.3446070984052673,0.45454545454545453,0.9850746268656716,0.9375,0.81
31,7.360000000000582,83,233,33,67,100,10,1,bernoulli,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,1,1,0.214905907220877,0.8181818181818182,0.8059701492537313,0.675,0.81,0.33256724625656636,0.48484848484848486,0.9850746268656716,0.9411764705882353,0.82
32,7.68999999999869,83,233,33,67,300,10,1,bernoulli,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,1,1,0.214906139737027,0.8181818181818182,0.8059701492537313,0.675,0.81,0.33256758008252124,0.48484848484848486,0.9850746268656716,0.9411764705882353,0.82
