mod_num,time_to_create,ntrees,max_depth,min_rows,distribution,learn_rate,learn_rate_annealing,min_split_improvement,sample_rate,nbins,col_sample_rate_per_tree,histogram_type,r_2,r_2_test,mae_test,mse_test
26,3.3400000000001455,300,1,1,gaussian,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.04623928272454492,0.029665898018733428,0.47349797852839115,0.7444847831403038
27,3.5299999999997453,100,3,1,gaussian,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.13073450918821272,0.10033976848078963,0.46007764324253003,0.6996338420868137
28,3.680000000000291,300,3,1,gaussian,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.13073547629494542,0.1003404791590663,0.46007750083190885,0.6996333388080473
29,5.9099999999998545,100,7,1,gaussian,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.31057790260209495,0.21629214352481174,0.4333472646630753,0.6359796633234951
30,6.199999999999818,300,7,1,gaussian,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.3105797202244559,0.2162935109543037,0.43334694077560937,0.6359787981985624
31,9,100,10,1,gaussian,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.4266583856667582,0.2731753121163839,0.41797585110975183,0.6068437200275578
32,10.3100000000004,300,10,1,gaussian,0.05,0.9,1e-4,0.632,4,0.8,RoundRobin,0.4266609207048099,0.27317704662413067,0.41797541706633856,0.6068424670260866
33,3.2100000000000364,100,1,1,gaussian,0.01,0.9,1e-4,0.632,4,0.8,RoundRobin,0.011704295622018468,0.003819026193269015,0.47692180695003356,0.7663291446838518
34,3.319999999999709,300,1,1,gaussian,0.01,0.9,1e-4,0.632,4,0.8,RoundRobin,0.011704295622018468,0.003819026193269015,0.47692180695003356,0.7663291446838518
35,3.550000000000182,100,3,1,gaussian,0.01,0.9,1e-4,0.632,4,0.8,RoundRobin,0.033283265905446946,0.02306670308590164,0.4733941479462931,0.7560458387973891
36,3.519999999999527,300,3,1,gaussian,0.01,0.9,1e-4,0.632,4,0.8,RoundRobin,0.033283265905446946,0.02306670308590164,0.4733941479462931,0.7560458387973891
37,5.770000000000437,100,7,1,gaussian,0.01,0.9,1e-4,0.632,4,0.8,RoundRobin,0.0787044024754675,0.0525839045221822,0.4675110596536226,0.7412791841626913
38,5.600000000000364,300,7,1,gaussian,0.01,0.9,1e-4,0.632,4,0.8,RoundRobin,0.0787044024754675,0.0525839045221822,0.4675110596536226,0.7412791841626913
39,8.429999999999382,100,10,1,gaussian,0.01,0.9,1e-4,0.632,4,0.8,RoundRobin,0.11131686588835255,0.07168199350601623,0.46323030973196044,0.7332391508540117
40,8.229999999999563,300,10,1,gaussian,0.01,0.9,1e-4,0.632,4,0.8,RoundRobin,0.11131686588835255,0.07168199350601623,0.46323030973196044,0.7332391508540117
41,3.180000000000291,100,1,1,gaussian,0.001,0.9,1e-4,0.632,4,0.8,RoundRobin,0.001240849912461317,-0.003257869065349306,0.4778203202784552,0.7714660770638729
42,3.1599999999998545,300,1,1,gaussian,0.001,0.9,1e-4,0.632,4,0.8,RoundRobin,0.001240849912461317,-0.003257869065349306,0.4778203202784552,0.7714660770638729
43,3.6099999999996726,100,3,1,gaussian,0.001,0.9,1e-4,0.632,4,0.8,RoundRobin,0.0035571466042170208,-0.0011442814111832789,0.47743429581991176,0.7703801387166266
44,3.4000000000005457,300,3,1,gaussian,0.001,0.9,1e-4,0.632,4,0.8,RoundRobin,0.0035571466042170208,-0.0011442814111832789,0.47743429581991176,0.7703801387166266
45,4.0900000000001455,100,7,1,gaussian,0.001,0.9,1e-4,0.632,4,0.8,RoundRobin,0.008361533659078657,0.001927280647738172,0.4768596211010356,0.7689064206011231
46,4.1599999999998545,300,7,1,gaussian,0.001,0.9,1e-4,0.632,4,0.8,RoundRobin,0.008361533659078657,0.001927280647738172,0.4768596211010356,0.7689064206011231
47,6.5900000000001455,100,10,1,gaussian,0.001,0.9,1e-4,0.632,4,0.8,RoundRobin,0.01181830891804081,0.0038855807804480946,0.47642409973583344,0.7681174322001093
48,6.4799999999995634,300,10,1,gaussian,0.001,0.9,1e-4,0.632,4,0.8,RoundRobin,0.01181830891804081,0.0038855807804480946,0.47642409973583344,0.7681174322001093
49,1.7899999999999636,100,1,1,gaussian,0.05,0.5,1e-4,0.632,4,0.8,RoundRobin,0.01912338063107466,0.005865953131172996,0.4767706647893216,0.7644891912089263
50,1.8299999999999272,300,1,1,gaussian,0.05,0.5,1e-4,0.632,4,0.8,RoundRobin,0.01912338063107466,0.005865953131172996,0.4767706647893216,0.7644891912089263
51,1.8700000000008004,100,3,1,gaussian,0.05,0.5,1e-4,0.632,4,0.8,RoundRobin,0.05414330657017097,0.03865250174281343,0.46974422977941493,0.7480610399549399
52,1.9099999999998545,300,3,1,gaussian,0.05,0.5,1e-4,0.632,4,0.8,RoundRobin,0.05414330657017097,0.03865250174281343,0.46974422977941493,0.7480610399549399
