mtry,tree_depth,learn_rate,.metric,.estimator,mean,n,std_err,.config
10,3,0.001,mae,standard,0.46224344630314157,10,0.014967444558051197,Preprocessor1_Model40
10,3,0.001,rmse,standard,0.5769753279566838,10,0.01982698906495546,Preprocessor1_Model40
10,3,0.001,rsq,standard,0.4649844979629519,10,0.02865397305068564,Preprocessor1_Model40
3,5,0.001,mae,standard,0.4579773480432624,10,0.01513158907143042,Preprocessor1_Model41
3,5,0.001,rmse,standard,0.5721992500449975,10,0.0197313944328032,Preprocessor1_Model41
3,5,0.001,rsq,standard,0.5894039018569751,10,0.029435404001637352,Preprocessor1_Model41
5,5,0.001,mae,standard,0.4459093884430368,10,0.014848784951686234,Preprocessor1_Model42
5,5,0.001,rmse,standard,0.5589061932575048,10,0.019784974628338635,Preprocessor1_Model42
5,5,0.001,rsq,standard,0.5845505895247188,10,0.02390227006610851,Preprocessor1_Model42
7,5,0.001,mae,standard,0.44101624023568736,10,0.014895378733815268,Preprocessor1_Model43
7,5,0.001,rmse,standard,0.5530716056725695,10,0.020120254553059172,Preprocessor1_Model43
7,5,0.001,rsq,standard,0.5703936279685833,10,0.022932783401948435,Preprocessor1_Model43
10,5,0.001,mae,standard,0.4405946928824026,10,0.015413148549811056,Preprocessor1_Model44
10,5,0.001,rmse,standard,0.5520860899269422,10,0.019729764548415473,Preprocessor1_Model44
10,5,0.001,rsq,standard,0.5239799657340455,10,0.030270264820474898,Preprocessor1_Model44
3,7,0.001,mae,standard,0.4424818045619949,10,0.014604581620091331,Preprocessor1_Model45
3,7,0.001,rmse,standard,0.5557277381763078,10,0.019059752780315322,Preprocessor1_Model45
3,7,0.001,rsq,standard,0.6335061968406597,10,0.028354485785368855,Preprocessor1_Model45
5,7,0.001,mae,standard,0.4320209766281346,10,0.014184703828698046,Preprocessor1_Model46
5,7,0.001,rmse,standard,0.5441913986447705,10,0.018860089211471552,Preprocessor1_Model46
5,7,0.001,rsq,standard,0.6325445073376444,10,0.024240778848381446,Preprocessor1_Model46
7,7,0.001,mae,standard,0.4276843879388219,10,0.014401189759697713,Preprocessor1_Model47
7,7,0.001,rmse,standard,0.539786816629327,10,0.019508447976934584,Preprocessor1_Model47
7,7,0.001,rsq,standard,0.6168215256171692,10,0.024634433500996252,Preprocessor1_Model47
10,7,0.001,mae,standard,0.42867488593986774,10,0.01480031486172513,Preprocessor1_Model48
10,7,0.001,rmse,standard,0.540436477194221,10,0.019631440267589825,Preprocessor1_Model48
10,7,0.001,rsq,standard,0.5502895524464502,10,0.0408418591344255,Preprocessor1_Model48
