mod_num,time_to_create,n_yes_train,n_no_train,n_yes_test,n_no_test,ntrees,max_depth,min_rows,mtries,min_split_improvement,sample_rate,nbins,binomial_double_trees,seed,balance_classes,col_sample_rate_per_tree,r_2,mse,gini,auc,threshold_max_f1,sensitivity_max_f1,specificity_max_f1,precision_max_f1,accuracy_max_f1,threshold_max_accuracy,sensitivity_max_accuracy,specificity_max_accuracy,precision_max_accuracy,accuracy_max_accuracy,threshold_95_specificity,sensitivity_95_specificity,specificity_95_specificity,precision_95_specificity,accuracy_95_specificity,threshold_98_specificity,sensitivity_98_specificity,specificity_98_specificity,precision_98_specificity,accuracy_98_specificity
116,2.330999999998312,436,635,161,180,150,30,1,3,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.5188633603931445,0.1202804650431533,0.8582075329755756,0.9291037664877878,0.384222023632211,0.782608695652174,0.8111111111111111,0.7875,0.7976539589442815,0.38936237727768,0.7701863354037267,0.8222222222222222,0.7948717948717948,0.7976539589442815,0.5582051818963361,0.37888198757763975,0.9555555555555556,0.8840579710144928,0.6832844574780058,0.6038740855449352,0.30434782608695654,0.9833333333333333,0.9423076923076923,0.6627565982404692
117,3.3429999999989377,436,635,161,180,200,30,1,3,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.5168392424455184,0.12078647898597335,0.8615351823060333,0.9307675911530167,0.357873210633947,0.8322981366459627,0.7333333333333333,0.7362637362637363,0.7800586510263929,0.376446209635642,0.7888198757763976,0.7888888888888889,0.7696969696969697,0.7888563049853372,0.5581906409720979,0.391304347826087,0.9555555555555556,0.8873239436619719,0.6891495601173021,0.5855671378137846,0.34782608695652173,0.9833333333333333,0.9491525423728814,0.6832844574780058
118,4.378999999998996,436,635,161,180,300,30,1,3,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.5174787328604691,0.12062661129316211,0.8648176939665979,0.932408846983299,0.372255576972537,0.8012422360248447,0.7944444444444444,0.7771084337349398,0.7976539589442815,0.372255576972537,0.8012422360248447,0.7944444444444444,0.7771084337349398,0.7976539589442815,0.5292666100615581,0.42857142857142855,0.9555555555555556,0.8961038961038961,0.7067448680351907,0.5699327670712461,0.37267080745341613,0.9833333333333333,0.9523809523809523,0.6950146627565983
119,5.429999999998472,436,635,161,180,500,30,1,3,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.5214972372181259,0.11962201606359936,0.8701991072771955,0.9350995536385978,0.377683260816417,0.8012422360248447,0.8055555555555556,0.7865853658536586,0.8035190615835777,0.390262828644941,0.7763975155279503,0.8277777777777777,0.8012820512820513,0.8035190615835777,0.5336521601578139,0.40993788819875776,0.9555555555555556,0.8918918918918919,0.6979472140762464,0.5877864879474737,0.32298136645962733,0.9833333333333333,0.9454545454545454,0.6715542521994134
120,8.768000000000029,436,635,161,180,1000,30,1,3,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.5214691087401506,0.1196290479670823,0.8694468127789758,0.9347234063894879,0.377328998133521,0.782608695652174,0.8055555555555556,0.782608695652174,0.7947214076246334,0.40081482221545,0.7515527950310559,0.8444444444444444,0.8120805369127517,0.8005865102639296,0.5232148982326305,0.4409937888198758,0.9555555555555556,0.8987341772151899,0.7126099706744868,0.5889250557422652,0.3167701863354037,0.9833333333333333,0.9444444444444444,0.6686217008797654
121,1.3140000000003056,436,635,161,180,25,50,1,3,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.4646398525158921,0.13383592560644827,0.794683785545915,0.8973418927729575,0.280847409103922,0.906832298136646,0.5388888888888889,0.6375545851528385,0.7126099706744868,0.392486698978552,0.7142857142857143,0.7666666666666667,0.732484076433121,0.7419354838709677,0.5740504308969039,0.37888198757763975,0.9555555555555556,0.8840579710144928,0.6832844574780058,0.6864823348694317,0.20496894409937888,0.9833333333333333,0.9166666666666666,0.6158357771260997
122,1.2989999999990687,436,635,161,180,50,50,1,3,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.49578369023926827,0.1260502053427471,0.83177190430814,0.91588595215407,0.381062183873847,0.7888198757763976,0.7666666666666667,0.7514792899408284,0.7771260997067448,0.409774436090226,0.7267080745341615,0.8222222222222222,0.785234899328859,0.7771260997067448,0.5390202441662804,0.43478260869565216,0.9555555555555556,0.8974358974358975,0.7096774193548387,0.6249402771141902,0.2919254658385093,0.9833333333333333,0.94,0.656891495601173
123,1.3029999999998836,436,635,161,180,100,50,1,3,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.521323207331718,0.11966552219874978,0.8554516274637647,0.9277258137318823,0.408547285697936,0.7329192546583851,0.8444444444444444,0.8082191780821918,0.7917888563049853,0.408995727318252,0.7267080745341615,0.85,0.8125,0.7917888563049853,0.5573228643966417,0.40372670807453415,0.9555555555555556,0.8904109589041096,0.6950146627565983,0.6262825248296807,0.2670807453416149,0.9833333333333333,0.9347826086956522,0.6451612903225806
124,2.3400000000001455,436,635,161,180,150,50,1,3,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.5189993820555814,0.12024646067211386,0.8582852700737251,0.9291426350368626,0.384222023632211,0.782608695652174,0.8111111111111111,0.7875,0.7976539589442815,0.401736631684158,0.7453416149068323,0.8444444444444444,0.8108108108108109,0.7976539589442815,0.5586719990621796,0.37888198757763975,0.9555555555555556,0.8840579710144928,0.6832844574780058,0.6038740855449352,0.30434782608695654,0.9833333333333333,0.9423076923076923,0.6627565982404692
125,3.337999999999738,436,635,161,180,200,50,1,3,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.5169850249304802,0.12075003448426033,0.8616154270525103,0.9308077135262551,0.357873210633947,0.8322981366459627,0.7333333333333333,0.7362637362637363,0.7800586510263929,0.376446209635642,0.7888198757763976,0.7888888888888889,0.7696969696969697,0.7888563049853372,0.5581906409720979,0.391304347826087,0.9555555555555556,0.8873239436619719,0.6891495601173021,0.5855671378137846,0.34782608695652173,0.9833333333333333,0.9491525423728814,0.6832844574780058
