ticker,year,quarter,avg_price,sd_price,avg_pct_change,sd_pct_change,avg_range,avg_vol,pe_ratio,price_to_sales_ratio,price_to_book_ratio,price_to_fcf_ratio,debt_to_equity_ratio,yearly_amount_per_share,num_per_year,three_year_dividend,pays_dividend,dividend_yield
IO,2021,2021.1,2.9398360655737705,0.4375594885394773,-0.002102870378923135,0.081299632384283,0.33016393442622954,1164604.9180327868,0,0.39,-0.54,2.75,-3.77,0,0,0,0,0
IO,2021,2021.2,2.146984126984127,0.18842843187144556,-0.001986309675447318,0.046316709196016465,0.16206349206349208,1048574.6031746032,0,0.45,-0.92,0,-3.77,0,0,0,0,0
IO,2021,2021.3,1.4180392156862744,0.25806216001454485,-0.004391179479552543,0.0499424131033294,0.11137254901960784,929925.4901960784,0,0.34,0,0,NA,0,0,0,0,0
KLXE,2019,2019.3,66.676562203125,17.93283471154021,-0.013918068147616347,0.03999630502936204,4.5226559375,52924.375,0,0.57,0.93,0,0.85,0,0,0,0,0
KLXE,2019,2019.4,37.17265628125,7.421723445129409,-0.002887585524131816,0.06264525839402259,2.927343828125,77009.6875,0,0.29,0.58,0,1,0,0,0,0,0
KLXE,2020,2020.1,16.106451677419354,8.72609375764816,-0.03139421125265594,0.06995474311903786,1.668548387096774,67798.06451612903,0,0.16,0.32,0,1,0,0,0,0,0
KLXE,2020,2020.2,7.953174603174603,3.6437404679881187,-0.0011634502770004294,0.10324867640559333,1.2873015873015872,365142.5396825397,0,0.06,0.48,1.7,4.55,0,0,0,0,0
KLXE,2020,2020.3,8.11546875,2.2311694774497015,-0.01305171370330991,0.06292308913975757,0.7528125,134365.625,0,0.13,0.84,3.96,3.26,0,0,0,0,0
KLXE,2020,2020.4,5.681875,1.3672958772237325,0.003979975675217238,0.05677573432163858,0.52078125,114087.5,0,0.07,0.53,0,5.42,0,0,0,0,0
KLXE,2021,2021.1,12.445082016393442,3.4366562004359196,0.015479306963048512,0.06582518131720402,1.3727868032786885,136678.68852459016,0,0.18,2.17,0,10.3,0,0,0,0,0
KLXE,2021,2021.2,11.346984126984127,2.350814982168768,-0.0017518676458259945,0.0731575231313997,1.2192063968253968,209636.50793650793,0,0.19,-16.15,0,-81.24,0,0,0,0,0
KLXE,2021,2021.3,6.439019607843138,1.2794330852404292,-0.011472366714240866,0.05906737960265677,0.6147058823529411,124650.98039215687,0,0.11,0,0,NA,0,0,0,0,0
KLXE,2021,2021.3,6.439019607843138,1.2794330852404292,-0.011472366714240866,0.05906737960265677,0.6147058823529411,124650.98039215687,0,0.13,-1.88,0,-12.87,0,0,0,0,0
LBRT,2018,2018.4,18.140317396825395,2.798860898113659,-0.00715395474619286,0.031247066288824253,0.9757936031746033,713906.3492063492,6.99,0.69,1.94,15.56,0.51,0,0,0,0,0
LBRT,2019,2019.1,15.32426231147541,1.1233572901112177,0.0038398884414867183,0.028127574382074173,0.684475475409836,569414.7540983607,8.69,0.8,2.23,17.28,0.68,0,0,0,0,0
LBRT,2019,2019.2,15.323968285714285,1.287131796649402,4.5858934699851244e-5,0.027338910264841094,0.7021745079365079,608606.3492063492,11.84,0.87,2.25,20.57,0.65,0,0,0,0,0
LBRT,2019,2019.3,12.260625,1.6830281430085268,-0.004863679012238968,0.033048813540261145,0.6537812656249999,843326.5625,10.67,0.59,1.49,8.53,0.61,0,0,0,0,0
LBRT,2019,2019.4,9.48546875,0.9534347759672968,0.0023248711525944176,0.0282726701996624,0.4370625000000001,984018.75,19,0.62,1.59,17.38,0.64,0,0,0,0,0
LBRT,2020,2020.1,6.9793548387096775,2.9430957666541393,-0.014891405407744368,0.05855279123019638,0.487983870967742,920935.4838709678,7.91,0.16,0.39,6.89,0.66,0,0,0,0,0
LBRT,2020,2020.2,4.690476190476191,1.3617605167830078,0.005941723108101618,0.07123267378613975,0.4637301587301587,930458.7301587302,0,0.41,0.86,4.43,0.46,0,0,0,0,0
LBRT,2020,2020.3,6.95703125,1.1014675343225813,0.002608142904091238,0.04658027663080059,0.449984375,726362.5,0,0.75,1.33,0,0.57,0,0,0,0,0
LBRT,2020,2020.4,9.116875,1.4403856130514894,0.00384148061191268,0.04192002559470411,0.5684062499999999,880340.625,0,1.04,1.41,0,0.44,0,0,0,0,0
LBRT,2021,2021.1,12.01672131147541,0.9306945816816516,0.0033185979232993354,0.04085725896647103,0.7868196721311475,1269290.1639344261,0,1.23,1.59,47.26,0.5,0,0,0,0,0
LBRT,2021,2021.2,13.493809523809524,2.0215360078905813,0.00464536851091073,0.03962370170241061,0.7517301269841269,1390987.3015873015,0,1.23,2.08,0,0.61,0,0,0,0,0
LBRT,2021,2021.3,10.999803921568628,1.4715522283576326,-0.0026850744024394992,0.03216255367707937,0.6106274509803923,1161094.1176470588,0,0.96,1.62,0,NA,0,0,0,0,0
MARPS,2006,2006.4,24.220952444444443,1.1151459702625188,-0.004985682537526562,0.0208748078466049,0.5774604444444446,2223.809523809524,2.97,2.76,0,2.15,0,1.99,4,6.94,1,0.08216027030995002
MARPS,2007,2007.1,25.198688393442623,1.0649075570286572,-0.002004734780166763,0.02425647224533006,0.5583605081967212,1862.295081967213,3.08,2.68,0,3.41,0,2.84,4,6.76,1,0.11270427871710356
MARPS,2007,2007.2,29.729841301587303,1.6487097362510248,0.002148161323425672,0.01851801086482104,0.7607937301587302,3555.5555555555557,3.6,3.21,0,3.91,0,2.84,4,6.8100000000000005,1,0.09552691422703187
MARPS,2007,2007.3,32.72269823809524,1.4567796508455344,7.353480515089466e-4,0.020241947441363106,0.8960316984126985,2447.6190476190477,3.98,3.52,0,4.01,0,2.84,4,6.98,1,0.08678990892913951
MARPS,2007,2007.4,37.01937478125,2.0053600166132424,-0.002789981267774871,0.029426366536932466,1.22265625,2443.75,4.42,3.9,0,4.18,0,2.84,4,7.11,1,0.07671658467442394
MARPS,2008,2008.1,32.463114655737705,1.548560297040177,-0.0033387279694339586,0.02658388177766489,1.1000001803278687,1944.2622950819673,3.88,3.47,0,3.71,0,1.4100000000000001,2,7.31,1,0.04343390999146748
MARPS,2008,2008.2,32.942187453125,1.2386006524465474,3.058395067790066e-5,0.011678781375996067,0.32484392187499983,993.75,4.32,3.68,0,0,0.01,1.4100000000000001,2,0,1,0.04280225780411079
MARPS,2008,2008.3,28.569687484375,2.6881655442262313,-0.008513649034507662,0.0311387255390783,0.7682812656249998,1106.25,2.88,2.47,0,0,0,1.4100000000000001,2,6.87,1,0.049353007475883
MARPS,2008,2008.4,21.002499921875,1.491007754150515,0.0013441324249002882,0.04646161022953877,1.34687484375,3145.3125,2.75,2.35,0,0,0.01,1.4100000000000001,2,0,1,0.06713486514676403
MARPS,2009,2009.1,19.464753967213117,2.402583002546655,-0.001401540789635016,0.04048021486064672,1.2286884918032785,2767.2131147540986,2.82,2.49,0,0,0.01,1.13,4,6.24,1,0.058053649273111706
MARPS,2009,2009.2,16.897777952380952,0.6822885670112312,0.0013953051484203462,0.025227854086602757,0.3923810634920634,1746.031746031746,3.53,3.23,0,0,0,1.13,4,6.15,1,0.06687269788870549
MARPS,2009,2009.3,16.197656234375,0.9460372147184181,-0.003917692098085947,0.014098885559643632,0.19156243750000013,1201.5625,4.16,3.76,0,0,0,1.13,4,5.96,1,0.06976317953963553
MARPS,2009,2009.4,14.81015625,0.48120382173831044,-0.004902023632491047,0.020711035070630168,0.3284375,2343.75,4.88,4.34,0,0,0,1.13,4,5.64,1,0.07629899245661233
MARPS,2010,2010.1,17.094426295081966,1.1675451697374903,0.00329067281780187,0.017508768018802884,0.4065574918032785,2604.9180327868853,5.56,5.06,0,0,0,1.42,4,5.38,1,0.08306801149615248
MARPS,2010,2010.2,16.63841273015873,1.0560245514024056,-0.003084431527718748,0.0199650347756329,0.47682538095238114,1530.1587301587301,4.77,4.29,0,0,0,1.42,4,5.09,1,0.0853446793891651
