mod_num,time_to_create,n_yes_train,n_no_train,n_yes_test,n_no_test,ntrees,max_depth,min_rows,mtries,min_split_improvement,sample_rate,nbins,binomial_double_trees,seed,balance_classes,col_sample_rate_per_tree,r_2,mse,gini,auc,threshold_max_f1,sensitivity_max_f1,specificity_max_f1,precision_max_f1,accuracy_max_f1,threshold_max_accuracy,sensitivity_max_accuracy,specificity_max_accuracy,precision_max_accuracy,accuracy_max_accuracy,threshold_95_specificity,sensitivity_95_specificity,specificity_95_specificity,precision_95_specificity,accuracy_95_specificity,threshold_98_specificity,sensitivity_98_specificity,specificity_98_specificity,precision_98_specificity,accuracy_98_specificity
504,12.566000000108033,69,159,21,45,1000,30,1,3,1e-4,0.632,20,TRUE,16,TRUE,0.8,0.7919513563655486,0.05201164978784056,0.9919025157232704,0.9959512578616352,0.269393990833475,0.7619047619047619,0.9333333333333333,0.8421052631578947,0.8787878787878788,0.335686111687773,0.7142857142857143,0.9555555555555556,0.8823529411764706,0.8787878787878788,0.3356861116877725,0.7142857142857143,0.9555555555555556,0.8823529411764706,0.8787878787878788,0.6654561502006805,0.19047619047619047,1,1,0.7424242424242424
505,1.327999999979511,69,159,21,45,25,50,1,3,1e-4,0.632,20,TRUE,16,TRUE,0.8,0.7234360053913582,0.06914031920719968,0.9547169811320755,0.9773584905660377,0.177377892030848,0.8571428571428571,0.7555555555555555,0.6206896551724138,0.7878787878787878,0.448909299655568,0.5238095238095238,0.9777777777777777,0.9166666666666666,0.8333333333333334,0.43396226415094347,0.5714285714285714,0.9555555555555556,0.8571428571428571,0.8333333333333334,0.6442863494886616,0.19047619047619047,1,1,0.7424242424242424
506,1.315999999991618,69,159,21,45,50,50,1,3,1e-4,0.632,20,TRUE,16,TRUE,0.8,0.7758186290060726,0.05604479199384355,0.9825078616352201,0.99125393081761,0.229235880398671,0.7619047619047619,0.8888888888888888,0.7619047619047619,0.8484848484848485,0.327731092436975,0.6666666666666666,0.9333333333333333,0.8235294117647058,0.8484848484848485,0.3624343416047817,0.5714285714285714,0.9555555555555556,0.8571428571428571,0.8333333333333334,0.6680497925311203,0.14285714285714285,1,1,0.7272727272727273
507,2.321999999927357,69,159,21,45,100,50,1,3,1e-4,0.632,20,TRUE,16,TRUE,0.8,0.7842775358169725,0.053930086072426754,0.9863993710691823,0.9931996855345911,0.292955549779049,0.7142857142857143,0.9333333333333333,0.8333333333333334,0.8636363636363636,0.350253807106599,0.6666666666666666,0.9555555555555556,0.875,0.8636363636363636,0.35025380710659904,0.6666666666666666,0.9555555555555556,0.875,0.8636363636363636,0.5967463429589323,0.19047619047619047,1,1,0.7424242424242424
508,3.3510000000242144,69,159,21,45,150,50,1,3,1e-4,0.632,20,TRUE,16,TRUE,0.8,0.790602078786373,0.05234896586781447,0.9882075471698113,0.9941037735849056,0.306953874970733,0.7619047619047619,0.9555555555555556,0.8888888888888888,0.8939393939393939,0.306953874970733,0.7619047619047619,0.9555555555555556,0.8888888888888888,0.8939393939393939,0.3069538749707329,0.7619047619047619,0.9555555555555556,0.8888888888888888,0.8939393939393939,0.6357072236184294,0.23809523809523808,1,1,0.7575757575757576
509,5.415999999968335,69,159,21,45,200,50,1,3,1e-4,0.632,20,TRUE,16,TRUE,0.8,0.7894083695079189,0.05264739025479842,0.9904088050314468,0.9952044025157234,0.333691563675443,0.7142857142857143,0.9555555555555556,0.8823529411764706,0.8787878787878788,0.333691563675443,0.7142857142857143,0.9555555555555556,0.8823529411764706,0.8787878787878788,0.3336915636754433,0.7142857142857143,0.9555555555555556,0.8823529411764706,0.8787878787878788,0.6120478583365616,0.23809523809523808,1,1,0.7575757575757576
510,6.435000000055879,69,159,21,45,300,50,1,3,1e-4,0.632,20,TRUE,16,TRUE,0.8,0.7856286157990177,0.05359231939616347,0.9914701257861636,0.9957350628930818,0.301310043668122,0.7619047619047619,0.9555555555555556,0.8888888888888888,0.8939393939393939,0.301310043668122,0.7619047619047619,0.9555555555555556,0.8888888888888888,0.8939393939393939,0.3013100436681223,0.7619047619047619,0.9555555555555556,0.8888888888888888,0.8939393939393939,0.613501079696219,0.23809523809523808,1,1,0.7575757575757576
511,9.493000000016764,69,159,21,45,500,50,1,3,1e-4,0.632,20,TRUE,16,TRUE,0.8,0.7891758376117898,0.052705522657561024,0.9915094339622641,0.995754716981132,0.282326958963209,0.7619047619047619,0.9555555555555556,0.8888888888888888,0.8939393939393939,0.282326958963209,0.7619047619047619,0.9555555555555556,0.8888888888888888,0.8939393939393939,0.282326958963209,0.7619047619047619,0.9555555555555556,0.8888888888888888,0.8939393939393939,0.6358222986639337,0.23809523809523808,1,1,0.7575757575757576
512,12.586000000010245,69,159,21,45,1000,50,1,3,1e-4,0.632,20,TRUE,16,TRUE,0.8,0.7919513563655486,0.05201164978784056,0.9919025157232704,0.9959512578616352,0.269393990833475,0.7619047619047619,0.9333333333333333,0.8421052631578947,0.8787878787878788,0.335686111687773,0.7142857142857143,0.9555555555555556,0.8823529411764706,0.8787878787878788,0.3356861116877725,0.7142857142857143,0.9555555555555556,0.8823529411764706,0.8787878787878788,0.6654561502006805,0.19047619047619047,1,1,0.7424242424242424
513,1.3219999999273568,69,159,21,45,25,3,1,6,1e-4,0.632,20,TRUE,16,TRUE,0.8,0.1189467616292722,0.2202611450767122,0.6178459119496855,0.8089229559748428,0.30135627266001,0.8095238095238095,0.7111111111111111,0.5666666666666667,0.7424242424242424,0.362292107189774,0.6190476190476191,0.8666666666666667,0.6842105263157895,0.7878787878787878,0.4443755266604678,0.3333333333333333,0.9555555555555556,0.7777777777777778,0.7575757575757576,0.5355223998122857,0.19047619047619047,1,1,0.7424242424242424
514,1.3490000000456348,69,159,21,45,50,3,1,6,1e-4,0.632,20,TRUE,16,TRUE,0.8,0.12199130143924775,0.21950001760385152,0.6536163522012579,0.826808176100629,0.326703194451274,0.8095238095238095,0.7777777777777778,0.6296296296296297,0.7878787878787878,0.326703194451274,0.8095238095238095,0.7777777777777778,0.6296296296296297,0.7878787878787878,0.4544976075818597,0.2857142857142857,0.9555555555555556,0.75,0.7424242424242424,0.48627745624881197,0.23809523809523808,1,1,0.7575757575757576
515,2.3130000000819564,69,159,21,45,100,3,1,6,1e-4,0.632,20,TRUE,16,TRUE,0.8,0.1296276199383487,0.21759095673950143,0.6539308176100631,0.8269654088050316,0.315728674123366,0.8095238095238095,0.6888888888888889,0.5483870967741935,0.7272727272727273,0.496867947893846,0.23809523809523808,1,1,0.7575757575757576,0.4390194186791962,0.2857142857142857,0.9555555555555556,0.75,0.7424242424242424,0.49686794789384603,0.23809523809523808,1,1,0.7575757575757576
