mtry,tree_depth,learn_rate,.metric,.estimator,mean,n,std_err,.config
10,5,0.01,mae,standard,0.3466832174445389,10,0.010626173359843845,Model28
10,5,0.01,rmse,standard,0.48610960816727045,10,0.016435208994635138,Model28
10,5,0.01,rsq,standard,0.5529105772191283,10,0.02738198812603549,Model28
3,7,0.01,mae,standard,0.3501802759922149,10,0.011137215888318657,Model29
3,7,0.01,rmse,standard,0.5035653642158979,10,0.01641675019227601,Model29
3,7,0.01,rsq,standard,0.5404718358754893,10,0.02733540589846806,Model29
5,7,0.01,mae,standard,0.31905429203146696,10,0.009930671134100745,Model30
5,7,0.01,rmse,standard,0.460640862345713,10,0.014361246151285378,Model30
5,7,0.01,rsq,standard,0.6111285136567344,10,0.02481910488303095,Model30
7,7,0.01,mae,standard,0.3089794148662237,10,0.010515596839195921,Model31
7,7,0.01,rmse,standard,0.45093381973765706,10,0.01678996023003336,Model31
7,7,0.01,rsq,standard,0.6212367905982266,10,0.025943037484451995,Model31
10,7,0.01,mae,standard,0.30437062063065595,10,0.010595077528037355,Model32
10,7,0.01,rmse,standard,0.4559980398344379,10,0.01935491362586125,Model32
10,7,0.01,rsq,standard,0.6030571845689002,10,0.03055728116497739,Model32
3,1,0.001,mae,standard,0.5065711901232617,10,0.01738712350533015,Model33
3,1,0.001,rmse,standard,0.705257654508105,10,0.02445765662263123,Model33
3,1,0.001,rsq,standard,0.14216526174799027,10,0.019428902307690586,Model33
5,1,0.001,mae,standard,0.5059713387461379,10,0.017474806244375817,Model34
5,1,0.001,rmse,standard,0.7024355254246437,10,0.024532199509321985,Model34
5,1,0.001,rsq,standard,0.14188975244178265,10,0.019849319212850464,Model34
7,1,0.001,mae,standard,0.5065901092085466,10,0.017637821433626306,Model35
7,1,0.001,rmse,standard,0.7011874200377458,10,0.02463140277442856,Model35
7,1,0.001,rsq,standard,0.12140729395170481,10,0.01965144574191754,Model35
10,1,0.001,mae,standard,0.507497131331639,10,0.017809787186707827,Model36
10,1,0.001,rmse,standard,0.7010500111915762,10,0.02471353771078853,Model36
10,1,0.001,rsq,standard,0.10597775848940835,10,0.019444263763105315,Model36
3,3,0.001,mae,standard,0.48911493485371615,10,0.01633055411298404,Model37
3,3,0.001,rmse,standard,0.6794932384742428,10,0.02265489061974272,Model37
3,3,0.001,rsq,standard,0.3391010734174455,10,0.03413895251659559,Model37
5,3,0.001,mae,standard,0.4828077526615717,10,0.01605891821223277,Model38
5,3,0.001,rmse,standard,0.6677311228005354,10,0.02223766403816655,Model38
5,3,0.001,rsq,standard,0.3622281281795917,10,0.030255044052506966,Model38
7,3,0.001,mae,standard,0.48015148213493775,10,0.016164122550931193,Model39
7,3,0.001,rmse,standard,0.6608545978147982,10,0.022351887696945717,Model39
7,3,0.001,rsq,standard,0.3545303842604636,10,0.03229402281580195,Model39
10,3,0.001,mae,standard,0.48251364009810954,10,0.016025178691828984,Model40
10,3,0.001,rmse,standard,0.660290269047761,10,0.022119932699789135,Model40
10,3,0.001,rsq,standard,0.2898575292364849,10,0.028591885600685363,Model40
3,5,0.001,mae,standard,0.47655900040869165,10,0.01615754884328919,Model41
3,5,0.001,rmse,standard,0.6620042252711096,10,0.02225216496778549,Model41
3,5,0.001,rsq,standard,0.4281177747898282,10,0.03338829086525706,Model41
5,5,0.001,mae,standard,0.46547279964846144,10,0.015864057988470615,Model42
5,5,0.001,rmse,standard,0.6437052083338668,10,0.021503310827331066,Model42
5,5,0.001,rsq,standard,0.46516694132041614,10,0.031813746365663496,Model42
7,5,0.001,mae,standard,0.45938049799511094,10,0.015546782552095479,Model43
7,5,0.001,rmse,standard,0.6329804292518033,10,0.020947038656166903,Model43
7,5,0.001,rsq,standard,0.4666271460145146,10,0.03132447011084027,Model43
10,5,0.001,mae,standard,0.45811757254180535,10,0.015929558627385668,Model44
10,5,0.001,rmse,standard,0.6289777694384444,10,0.021390692748917944,Model44
10,5,0.001,rsq,standard,0.4111080855975067,10,0.03096001985179956,Model44
3,7,0.001,mae,standard,0.46827265681015123,10,0.016171813063617837,Model45
3,7,0.001,rmse,standard,0.6523021778559688,10,0.022256209963955963,Model45
3,7,0.001,rsq,standard,0.48520714259072345,10,0.028785917878624105,Model45
5,7,0.001,mae,standard,0.4517227019805297,10,0.015410580443031069,Model46
5,7,0.001,rmse,standard,0.6269500697366761,10,0.021061082442089454,Model46
5,7,0.001,rsq,standard,0.5427911928335574,10,0.028578461074824042,Model46
7,7,0.001,mae,standard,0.44375018989060777,10,0.015211015795255238,Model47
7,7,0.001,rmse,standard,0.6140003905262132,10,0.020517010808550465,Model47
7,7,0.001,rsq,standard,0.5523695271604934,10,0.029039386143024974,Model47
10,7,0.001,mae,standard,0.44197833762955596,10,0.015383452127277474,Model48
10,7,0.001,rmse,standard,0.6088689681826042,10,0.02140164005435249,Model48
10,7,0.001,rsq,standard,0.48742034751303925,10,0.036140244114847835,Model48
