ticker,year,quarter,avg_price,sd_price,avg_pct_change,sd_pct_change,avg_range,avg_vol,pe_ratio,price_to_sales_ratio,price_to_book_ratio,price_to_fcf_ratio,debt_to_equity_ratio,yearly_amount_per_share,num_per_year,three_year_dividend,pays_dividend,dividend_yield
CHEK,2019,2019.4,1.6583125,0.1860303674646901,-0.004820669947588844,0.040134016623140215,0.116234375,56984.375,0,0,2.28,0,0.51,0,0,0,0,0
CHEK,2020,2020.1,1.6391935483870967,0.364872528323122,-0.0067404182364199676,0.05834037193385853,0.15056451612903227,79512.90322580645,0,0,1.68,0,0.38,0,0,0,0,0
CHEK,2020,2020.2,0.6314444444444445,0.17435232939948087,0.002040770549453583,0.06040642555187503,0.0678253968253968,3188226.984126984,0,0,1.2,0,0.19,0,0,0,0,0
CHEK,2020,2020.3,0.49220312499999996,0.12256299704253161,-0.007472608561067123,0.06406381573721716,0.051265624999999995,4452573.4375,0,0,0.83,0,0.15,0,0,0,0,0
CHEK,2020,2020.4,0.3398032786885246,0.038151810648220943,-2.1627738897692816e-4,0.04674482905719383,0.029229508196721314,1996475.4098360655,0,Inf,1.05,0,NA,0,0,0,0,0
CNTG,2020,2020.4,11.459016393442623,0.7696551282187644,-0.002825232275974268,0.03367056017534629,0.7574918032786886,133460.65573770492,Inf,Inf,Inf,Inf,NA,0,0,0,0,0
CO,2009,2009.4,6.93015625,1.1394032024433207,0.0034597931756672508,0.025609643866086225,0.14312500000000006,60807.8125,91.94,15.05,3.67,0,0.28,0,0,0,0,0
CO,2010,2010.1,5.792131147540983,0.4406590320345892,-0.010871272104265847,0.034182374017413655,0.280327868852459,33857.37704918033,39.6,10.38,3.3,149.26,0.28,0,0,0,0,0
CO,2010,2010.2,5.724126984126984,0.2930189629481503,-0.003495498901954472,0.02325936327193474,0.1768253968253969,27980.95238095238,34.65,8.8,2.83,130.6,0.3,0,0,0,0,0
CO,2010,2010.3,4.87125,0.44208560544274966,0.0060528667397826905,0.04284080684920639,0.19968749999999993,35865.625,32.8,8.28,2.75,131.85,0.32,0,0,0,0,0
CO,2010,2010.4,4.45828125,0.760742232980188,-0.009987534485542167,0.030780507412797038,0.19406250000000003,237348.4375,22.11,5.64,1.86,100,0.29,0,0,0,0,0
CO,2011,2011.1,3.4325806451612904,0.1931527509330881,-0.006131969708057947,0.028621262723297018,0.1570967741935484,86806.45161290323,16.14,4.15,1.46,9.5,0.43,0,0,0,0,0
CO,2011,2011.2,3.224761904761905,0.16675128420318136,-0.003755422100914435,0.019925779244196206,0.11412698412698416,44020.63492063492,13.41,4.07,1.39,9.47,0.45,0,0,0,0,0
CO,2011,2011.3,3.2907812499999998,0.1905072984270373,-0.0010094355769910616,0.020515828493465525,0.10890625000000002,34176.5625,12.42,3.66,1.26,8.77,0.44,0,0,0,0,0
CO,2011,2011.4,2.4398412698412697,0.2532593472687764,-7.573830641483459e-4,0.05751926189315752,0.16396825396825396,83884.12698412698,9.72,3.2,1.05,7.72,0.46,0,0,0,0,0
CO,2012,2012.1,2.7385483870967744,0.26775231259317867,-0.004007870918892686,0.035600030347322724,0.15661290322580645,74991.93548387097,10.04,3.41,1.05,4.21,0.48,0,0,0,0,0
CO,2012,2012.2,2.791269841269841,0.1289972750836492,-0.0021206850791055105,0.027293602922833695,0.11539682539682541,114160.31746031746,9.63,2.87,0.96,3.75,0.87,0,0,0,0,0
CO,2012,2012.3,2.606984126984127,0.10730774136513563,-0.003376219527382441,0.022208578498248237,0.10380952380952375,137596.82539682538,10.28,2.9,0.97,4,1.01,0,0,0,0,0
CO,2012,2012.4,2.749516129032258,0.08880679746828636,-0.0027032705670526768,0.015497370430945375,0.07403225806451616,92753.2258064516,10.77,2.55,0.98,3.87,1.36,0,0,0,0,0
CO,2013,2013.1,2.723333333333333,0.10177520371090142,-5.677688575584863e-4,0.023241468994190398,0.08083333333333334,49006.666666666664,12.61,2.63,1.06,3.65,1.41,0,0,0,0,0
CO,2013,2013.2,2.8525,0.05139328595516971,-0.0038499256721619217,0.016863277023234695,0.07984375000000002,81468.75,11.59,2.41,0.95,3.5,1.38,0,0,0,0,0
CO,2013,2013.3,3.7615625,0.43599628202142726,0.0035053280276626437,0.04420613435824356,0.16968750000000002,176765.625,15.68,3.19,1.21,3.3,1.36,0,0,0,0,0
CO,2013,2013.4,3.9825,0.10375490043886774,-7.368547489208676e-4,0.023824602601151216,0.14015624999999993,130587.5,16.54,3.38,1.24,5,1.45,0,0,0,0,0
CO,2014,2014.1,4.0644262295081965,0.16085733420398685,-4.265685499909443e-4,0.01788502668267407,0.12786885245901636,133449.18032786885,15.23,3.35,1.25,4.65,1.52,0,0,0,0,0
CO,2014,2014.2,4.490793650793651,0.3734378282551737,0.005294829210027916,0.022184312462271545,0.14793650793650798,112730.15873015873,21.86,4.49,1.68,6.42,1.53,0,0,0,0,0
CO,2014,2014.3,4.84765625,0.3541712534716988,-0.0010303185540375273,0.04044354615345129,0.231875,116657.8125,18.62,3.82,1.45,9.6,1.59,0,0,0,0,0
CO,2014,2014.4,4.75,0.2822809587672178,-8.838457718287852e-4,0.02336366037247469,0.176875,68370.3125,23.55,4.65,0,5.26,0,0,0,0,0,0
CO,2015,2015.1,4.919344262295082,0.43077785788214557,0.0016867712167449574,0.03650629401887018,0.2570491803278689,107475.40983606558,42.16,7.85,0,0,0,0,0,0,0,0
CO,2015,2015.2,6.138730158730159,0.3194526168281636,0.0019100214707827284,0.02697975118508198,0.21968253968253973,389498.4126984127,67.77,8.7,1.74,0,1.68,0,0,0,0,0
CO,2015,2015.3,6.21453125,0.5966545082227568,-0.0019208582558420514,0.03365079344863923,0.24999999999999994,253118.75,85.15,8.14,1.71,0,1.71,0,0,0,0,0
CO,2015,2015.4,6.31375,0.08331428353691724,0.0015629495013708312,0.012008631041119225,0.1268750000000001,112021.875,37.1,5.9,1.76,0,1.7,0,0,0,0,0
CO,2016,2016.1,5.973770491803279,0.13903433550057856,-6.147936288303758e-5,0.014527057084937837,0.16180327868852462,101147.54098360655,30.05,4.34,1.65,5.01,1.74,0,0,0,0,0
CO,2016,2016.2,6.0859375,0.17680335009036055,0.0016040230208386583,0.013407086863529738,0.11671874999999998,34106.25,28.47,4.23,1.6,4.75,1.78,0,0,0,0,0
CO,2016,2016.3,5.33234375,0.16447841743398223,-0.0018376560049899306,0.016335804615098475,0.11343749999999997,43642.1875,26.63,3.85,1.4,3.07,1.77,0,0,0,0,0
CO,2016,2016.4,4.981111111111111,0.3348380018086315,0.004549018359035432,0.04778400421716749,0.24809523809523812,104587.30158730158,31.89,4.41,1.74,5.05,1.85,0,0,0,0,0
CO,2017,2017.1,5.926612903225807,0.19492700229629548,0.0030694664859756793,0.018348820466314225,0.18612903225806451,81464.51612903226,28.67,4.58,1.8,5.4,1.81,0,0,0,0,0
CO,2017,2017.2,7.978412698412699,0.8413089002516264,0.008597060344056197,0.04438466263769263,0.4855555555555555,484666.6666666667,32.37,6.7,1.59,7.69,0.84,0,0,0,0,0
CO,2017,2017.3,11.704920634920635,1.1965189738946527,3.2333304646016056e-4,0.0261299979351272,0.4666666666666667,448325.3968253968,31.46,7.97,2.79,14.28,0.87,0,0,0,0,0
CO,2017,2017.4,10.933015873015872,0.6700905931064771,-0.0025718255626260623,0.02491916618870327,0.39857142857142863,224260.31746031746,28.98,7.57,2.38,8.07,0.86,0,0,0,0,0
CO,2018,2018.1,10.214918032786885,0.8253052424220986,1.8759477583268392e-4,0.024177959666969662,0.4129508196721312,266708.1967213115,32.58,7.87,2.45,10.05,0.87,0,0,0,0,0
CO,2018,2018.2,9.58,0.23948357136217285,9.116923930800494e-4,0.013501546496479307,0.250625,158782.8125,30.31,7.21,2.38,9.35,0.91,0,0,0,0,0
CO,2018,2018.3,7.511587301587301,0.8009192427358307,-0.004300641604569129,0.024942001354991087,0.30825396825396834,207371.42857142858,23.3,5.4,1.78,6.96,0.89,0,0,0,0,0
CO,2018,2018.4,6.38936507936508,0.33793429890110877,-0.0021005532890993003,0.025408426426138254,0.26714285714285707,110855.55555555556,23.04,5.08,1.61,6.42,0.89,0,0,0,0,0
CO,2019,2019.1,6.6088524590163935,0.5077371313342358,-3.062374880730691e-4,0.015720459279566203,0.23606557377049178,81404.91803278688,20.06,5.73,1.67,7.51,0.91,0,0,0,0,0
CO,2019,2019.2,6.592380952380952,0.517757927886576,-0.0022285976680653657,0.023856589710645495,0.2638095238095239,51961.90476190476,14.82,4.66,1.36,6.18,0.9,0,0,0,0,0
CO,2019,2019.3,5.2440625,0.532307700578564,-0.0035643640046652777,0.03835087317627105,0.25296874999999996,110043.75,10.76,3.72,1.14,5.18,0.89,0,0,0,0,0
CO,2019,2019.4,4.77515625,0.2668451318738304,-0.0018246188824233899,0.02243522862872622,0.18796875000000002,62312.5,9.09,3.56,1.12,5.35,0.88,0,0,0,0,0
CO,2020,2020.1,4.372096774193548,0.6610328160718268,-0.0059232085820313685,0.03838745907029276,0.21370967741935487,108543.54838709677,5.78,2.24,0.7,4.5,0.86,0,0,0,0,0
CO,2020,2020.2,2.9044444444444446,0.18474723602435306,-0.005082667912327551,0.03522522822613976,0.14841269841269839,177634.92063492062,5.44,2.2,0.66,4.39,0.84,0,0,0,0,0
CO,2020,2020.3,3.465,0.17787993096825133,0.0019287324465086205,0.02694083849326592,0.1590625,165462.5,6,2.54,0.7,5.01,0.82,0,0,0,0,0
