mod_num,time_to_create,n_yes_train,n_no_train,n_yes_test,n_no_test,ntrees,max_depth,min_rows,mtries,min_split_improvement,sample_rate,nbins,binomial_double_trees,seed,balance_classes,col_sample_rate_per_tree,gini,auc,threshold_max_f1,sensitivity_max_f1,specificity_max_f1,precision_max_f1,accuracy_max_f1,threshold_98_specificity,sensitivity_98_specificity,specificity_98_specificity,precision_98_specificity,accuracy_98_specificity
18,6.408000000000129,317,340,108.99999999999999,100,100,15,1,7,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.8855406324379465,0.9427703162189732,0.387828215199873,0.9357798165137615,0.83,0.8571428571428571,0.8851674641148325,0.7499459519665226,0.5229357798165137,0.99,0.9827586206896551,0.7464114832535885
19,3.3460000000000036,317,340,108.99999999999999,100,50,20,1,7,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.8690751445086706,0.9345375722543353,0.345285704122429,0.9724770642201835,0.79,0.8346456692913385,0.8851674641148325,0.806715908385575,0.44036697247706424,0.99,0.9795918367346939,0.7033492822966507
20,6.399999999999864,317,340,108.99999999999999,100,100,20,1,7,1e-4,0.632,4,TRUE,16,TRUE,0.8,0.8867392043522611,0.9433696021761305,0.379186602870813,0.944954128440367,0.82,0.8512396694214877,0.8851674641148325,0.7375075865361087,0.5321100917431193,0.99,0.9830508474576272,0.7511961722488039
21,2.3330000000000837,317,340,108.99999999999999,100,50,3,1,4,0.001,0.632,4,TRUE,16,TRUE,0.8,0.582301938116287,0.7911509690581435,0.414868170040692,0.8348623853211009,0.68,0.7398373983739838,0.7607655502392344,0.667804140961667,0.21100917431192662,0.99,0.9583333333333334,0.583732057416268
22,4.373000000000047,317,340,108.99999999999999,100,100,3,1,4,0.001,0.632,4,TRUE,16,TRUE,0.8,0.6082454947296836,0.8041227473648418,0.404225617901069,0.8715596330275229,0.66,0.7364341085271318,0.7703349282296651,0.6497795141301427,0.24770642201834864,0.99,0.9642857142857143,0.6028708133971292
23,3.3659999999999854,317,340,108.99999999999999,100,50,7,1,4,0.001,0.632,4,TRUE,16,TRUE,0.8,0.8032131927915673,0.9016065963957837,0.440710643047422,0.8715596330275229,0.86,0.8715596330275229,0.8660287081339713,0.651498860177836,0.5321100917431193,0.99,0.9830508474576272,0.7511961722488039
24,5.378999999999905,317,340,108.99999999999999,100,100,7,1,4,0.001,0.632,4,TRUE,16,TRUE,0.8,0.8134648078884732,0.9067324039442366,0.473553249616749,0.8532110091743119,0.88,0.8857142857142857,0.8660287081339713,0.7026223777486881,0.42201834862385323,0.99,0.9787234042553191,0.69377990430622
25,3.383000000000038,317,340,108.99999999999999,100,50,10,1,4,0.001,0.632,4,TRUE,16,TRUE,0.8,0.8274481468888135,0.9137240734444068,0.433277924647507,0.8899082568807339,0.86,0.8738738738738738,0.8755980861244019,0.7119084333426093,0.4954128440366973,0.99,0.9818181818181818,0.7320574162679426
26,5.3819999999998345,317,340,108.99999999999999,100,100,10,1,4,0.001,0.632,4,TRUE,16,TRUE,0.8,0.8469738184291058,0.9234869092145529,0.462186450233144,0.8807339449541285,0.9,0.9056603773584906,0.8899521531100478,0.7283020903657152,0.45871559633027525,0.99,0.9803921568627451,0.7129186602870813
27,3.3769999999999527,317,340,108.99999999999999,100,50,15,1,4,0.001,0.632,4,TRUE,16,TRUE,0.8,0.8464382862971778,0.9232191431485889,0.522662269798424,0.8623853211009175,0.91,0.912621359223301,0.8851674641148325,0.7436720582787999,0.44954128440366975,0.99,0.98,0.7081339712918661
