ticker,year,quarter,avg_price,sd_price,avg_pct_change,sd_pct_change,avg_range,avg_vol,pe_ratio,price_to_sales_ratio,price_to_book_ratio,price_to_fcf_ratio,debt_to_equity_ratio,yearly_amount_per_share,num_per_year,three_year_dividend,pays_dividend,dividend_yield
CMC,2016,2016.3,16.2492188125,0.7041245468808672,-5.515267541092816e-4,0.01674492892867052,0.4189061562500001,1328521.875,29.4,0.45,1.16,3.76,1.29,0.48,4,3.76,1,0.029539881611462544
CMC,2016,2016.4,19.61301596825397,3.2735029252684793,0.0042390666339382575,0.023549584199942408,0.5996826349206351,1655938.0952380951,63.67,0.67,1.71,13.16,1.26,0.48,4,3.76,1,0.024473543527264642
CMC,2017,2017.1,20.510322645161292,1.4138473631638069,-0.0027701653333921596,0.02395324199809874,0.6904836129032258,2570325.806451613,39.71,0.68,1.62,28.81,1.3,0.48,4,3.76,1,0.023402849789554116
CMC,2017,2017.2,18.524285666666668,0.5292589088783455,-0.0014841094580498593,0.02301247238549316,0.6234920158730157,1876942.857142857,25.28,0.62,1.34,0,1.31,0.48,4,3.26,1,0.02591193035117845
CMC,2017,2017.3,18.74952384126984,0.8620971131605093,-1.8079011342058166e-4,0.018808986107587654,0.5333334920634919,1936626.9841269841,43.12,0.53,1.43,0,1.12,0.48,4,2.88,1,0.025600650131896427
CMC,2017,2017.4,19.91365088888889,1.0952276121787254,5.829488199095686e-4,0.01645861976146579,0.5171431746031744,1720663.492063492,27.63,0.55,1.48,0,1.02,0.48,4,2.48,1,0.024104068243348736
CMC,2018,2018.1,24.26032775409836,1.5442862976536191,-0.002088567703603669,0.024010376418038618,0.8418033114754097,2109359.0163934426,45.79,0.64,1.81,0,1.01,0.48,4,1.96,1,0.01978538809801992
CMC,2018,2018.2,22.294375140625,1.5423882151940504,-1.770921229580723e-4,0.016912960849921214,0.6499999375,1314353.125,44.82,0.61,1.77,0,1.23,0.48,4,1.56,1,0.02153009433869891
CMC,2018,2018.3,21.518412793650793,0.6113396858001278,-0.0016221027695200632,0.015582664648960983,0.5473016507936507,888328.5714285715,17.1,0.51,1.58,0,1.23,0.48,4,1.56,1,0.02230647792673763
CMC,2018,2018.4,18.650317555555556,1.3836930203730484,-0.003748955014166237,0.021793669066125763,0.6939680476190474,1206290.4761904762,17.41,0.44,1.43,0,1.49,0.48,4,1.56,1,0.02573682719182535
CMC,2019,2019.1,16.50803273770492,0.5522071776462433,-4.8316663335697357e-4,0.0228778573100559,0.5008197540983607,1667511.475409836,14.65,0.36,1.23,0,1.49,0.48,4,1.44,1,0.029076753579708098
CMC,2019,2019.2,16.354762015873014,1.3721879737092648,3.5759882214357424e-4,0.01518574274829664,0.45968257142857144,1441963.492063492,9.15,0.27,0.96,0,1.41,0.48,4,1.44,1,0.029349250055374632
CMC,2019,2019.3,17.10484375,1.1173210038637273,0.001478212932095479,0.02259363784141026,0.5814062500000001,1338609.375,9,0.31,1.09,0,1.31,0.48,4,1.44,1,0.028062226525746543
CMC,2019,2019.4,20.252968765625,1.6233862513697734,0.001858095603863891,0.01448200378681651,0.530312515625,1432357.8125,9.37,0.41,1.44,6.04,1.24,0.48,4,1.44,1,0.023700229114790094
CMC,2020,2020.1,19.046129016129033,3.4343387738793236,5.771097433333814e-4,0.03165329985007188,0.9270967741935485,2005080.6451612904,6.79,0.36,1.2,4.31,1.22,0.48,4,1.44,1,0.025201971465882468
CMC,2020,2020.2,17.151587142857142,1.8765703266847402,1.4929298908957948e-4,0.028631975315226668,0.820000111111111,1402304.761904762,6.74,0.36,1.11,3.24,1.2,0.48,4,1.44,1,0.027985748257699766
CMC,2020,2020.3,20.782656328125,0.8536424837221768,-0.0013236163990038763,0.019891174934857456,0.6707812968749998,1029942.1875,8.82,0.45,1.3,4.02,1.16,0.48,4,1.44,1,0.023096181374582993
CMC,2020,2020.4,20.755468703125,0.9060483331859321,-5.191857675227754e-4,0.02220182861721328,0.6884374687499999,1140784.375,9.13,0.43,1.22,5.2,1.08,0.48,4,1.44,1,0.023126435103232812
CMC,2021,2021.1,24.76131155737705,3.710466943141804,0.0043038146140303105,0.02912562630166946,1.0804919016393442,1616634.4262295081,11.49,0.54,1.5,7.95,1.02,0.24,2,1.44,1,0.009692539890056738
CMC,2021,2021.1,24.76131155737705,3.710466943141804,0.0043038146140303105,0.02912562630166946,1.0804919016393442,1616634.4262295081,11.49,0.54,1.5,7.95,1.02,0.24,2,1.44,1,0.009692539890056738
CMC,2021,2021.2,30.998,0.4210346304052674,-0.0015315283875719145,0.009345608399485417,1.0539999999999998,968620,13.59,0.64,1.78,9.4,NA,0.24,2,0,1,0.007742434995806181
FRD,2006,2006.4,9.799206349206349,1.1623673029880923,0.005524843596100199,0.027312075409082332,0.38206349206349205,53006.34920634921,6.5,0.26,1.22,9.05,0.52,0.32,4,0.76,1,0.03265570583947518
FRD,2007,2007.1,9.928524590163935,1.188504432842068,-0.002656450108154503,0.03416833306279594,0.41983606557377035,55972.13114754098,5.59,0.2,0.93,30.56,0.56,0.34,4,0.81,1,0.03424476586751205
FRD,2007,2007.2,9.546190476190477,0.37119001555775916,0.0013911330549882107,0.016049603371103994,0.23079365079365086,18885.714285714286,6.44,0.21,0.95,22.67,0.35,0.34,4,0.89,1,0.03561630169102609
FRD,2007,2007.3,8.523174603174603,0.6363855227282802,-7.052695167442843e-4,0.025939477347358464,0.2709523809523809,16538.095238095237,7.55,0.2,0.87,18.88,0.29,0.34,4,0.9500000000000001,1,0.039891239570917766
FRD,2007,2007.4,7.56015625,1.2693536565343573,-1.3047186701383335e-4,0.03209912726107072,0.2782812499999999,20046.875,6.31,0.16,0.63,7.39,0.33,0.34,4,0.98,1,0.044972615480004134
FRD,2008,2008.1,5.5652459016393445,0.35363166599055695,1.0986059792827887e-4,0.03032963225846029,0.22983606557377054,14081.967213114754,5,0.13,0.51,0,0.49,0.19,3,0.98,1,0.03414045010015317
FRD,2008,2008.2,5.99390625,0.9060688105680091,0.006147788087729951,0.025729401065779235,0.19578124999999996,13825,5.22,0.19,0.75,2.69,0.36,0.19,3,0.96,1,0.0316988608221892
FRD,2008,2008.3,7.95171875,0.7525228566638938,-0.003613111023193781,0.032896076624241564,0.3710937500000001,34918.75,2.64,0.14,0.57,8.98,0.55,0.19,3,0.93,1,0.023894205262227113
FRD,2008,2008.4,5.413125,0.7765284467238973,0.0021978475777432237,0.045587555271882775,0.32046874999999997,32193.75,2.03,0.13,0.55,3.08,0.25,0.19,3,0,1,0.035099872993880614
FRD,2009,2009.1,5.605081967213115,1.3973017127674081,-0.010011655811091775,0.06180551992000504,0.5011475409836066,72319.67213114754,1.71,0.11,0.42,0.99,0.08,0.21,4,0.85,1,0.03746599982451522
