ticker,quarter,pe_ratio,price_to_sales_ratio,price_to_book_ratio,price_to_fcf_ratio,debt_to_equity_ratio
AVT,2021.3,19.77,0.19,0.93,93.66,NA
AVT,2021.2,20.75,0.2,0.97,98.31,1.19
AVT,2021.1,25.66,0.22,1.04,9.59,1.12
AVT,2020.4,0,0.19,0.87,6.46,1.11
AVT,2020.3,0,0.14,0.66,4.22,1.22
AVT,2020.2,0,0.16,0.72,4.14,1.18
AVT,2020.1,0,0.14,0.65,3.63,1.2
AVT,2019.4,42.7,0.23,1.02,5.12,1.15
AVT,2019.3,34.11,0.24,1.08,6.62,1.25
AVT,2019.2,27.46,0.25,1.08,11.52,1.07
AVT,2019.1,17.31,0.23,1,16.27,1.09
AVT,2018.4,0,0.2,0.84,55.96,1.1
AVT,2018.3,0,0.26,1.02,42.64,1.05
AVT,2018.2,0,0.25,0.99,48.95,1.05
AVT,2018.1,0,0.26,0.92,0,0.96
AVT,2017.4,10.11,0.25,0.83,0,0.87
AVT,2017.3,8.98,0.26,0.83,0,0.86
AVT,2017.2,8.72,0.26,0.84,0,0.87
AVT,2017.1,9.96,0.28,1.03,0,0.93
AVT,2016.4,14.3,0.3,1.17,22.68,1.81
AVT,2016.3,10.94,0.26,0.99,42.16,1.31
AVT,2016.2,9.54,0.25,0.99,54.27,1.4
AVT,2016.1,9.4,0.27,1.07,10.93,1.34
AVT,2015.4,9.19,0.23,1.07,16.34,1.42
AVT,2015.3,9.07,0.2,1.08,11.31,1.35
AVT,2015.2,8.81,0.18,1.05,11.09,1.31
AVT,2015.1,9.1,0.19,1.18,37.75,1.36
AVT,2014.4,8.92,0.19,1.09,11.56,1.44
AVT,2014.3,9.2,0.18,1.04,26.54,1.29
AVT,2014.2,9.91,0.2,1.09,47.33,1.3
AVT,2014.1,11.63,0.21,1.18,15.49,1.3
AVT,2013.4,11.62,0.2,1.13,126.89,1.48
AVT,2013.3,10.63,0.19,1.1,12.92,1.35
AVT,2013.2,8.95,0.16,0.92,6.74,1.44
AVT,2013.1,9.65,0.18,1.04,7.7,1.5
AVT,2012.4,7.29,0.15,0.87,6.49,1.57
AVT,2012.3,6.95,0.15,0.87,5.37,1.54
AVT,2012.2,6.99,0.15,0.97,9.9,1.6
AVT,2012.1,7.06,0.18,1.12,11.23,1.51
AVT,2011.4,6.06,0.15,1,7.09,1.64
AVT,2011.3,5.17,0.13,0.85,83.36,1.49
AVT,2011.2,6.32,0.16,1.03,30.15,1.44
AVT,2011.1,7.88,0.18,1.2,0,1.64
AVT,2010.4,8.14,0.19,1.25,0,1.88
AVT,2010.3,7.13,0.17,1.06,0,1.79
AVT,2010.2,7.72,0.17,1.04,0,1.59
AVT,2010.1,16.5,0.22,1.29,31.06,1.37
AVT,2009.4,27.82,0.24,1.31,6.05,1.45
AVT,2009.3,22.28,0.21,1.17,3.2,1.32
AVT,2009.2,14.1,0.17,0.99,2.67,1.27
AVT,2009.1,6.18,0.13,0.83,2.43,1.27
AVT,2008.4,5.17,0.13,0.84,3.8,1.41
AVT,2008.3,6.6,0.18,0.78,8.04,0.97
AVT,2008.2,7.14,0.2,0.85,9.49,0.98
AVT,2008.1,8.94,0.24,1.06,9.78,0.99
AVT,2007.4,9.59,0.27,1.19,8.96,1.13
AVT,2007.3,11.92,0.32,1.43,7.83,1.06
AVT,2007.2,12.98,0.32,1.5,7.61,1.16
AVT,2007.1,14.03,0.31,1.43,8.99,1.16
AVT,2006.4,11.01,0.22,1.05,27.63,1.14
AVT,2006.3,NA,NA,0.85,NA,1.24
AVT,2006.2,NA,NA,0.89,NA,1.2
AVT,2006.1,NA,NA,1.18,NA,1.24
AVT,2005.4,NA,NA,NA,NA,1.37
AVT,2005.3,NA,NA,NA,NA,1.31
AVT,2005.2,NA,NA,NA,NA,1.43
AVT,2005.1,NA,NA,NA,NA,1.36
CNXN,2021.3,19.54,0.45,1.78,0,NA
CNXN,2021.2,20.03,0.46,1.82,0,0.55
CNXN,2021.1,23.91,0.49,1.88,0,0.48
CNXN,2020.4,22.27,0.48,1.93,49.37,0.6
CNXN,2020.3,17.59,0.41,1.7,37.83,0.6
CNXN,2020.2,17.85,0.45,1.97,10.48,0.56
CNXN,2020.1,12.88,0.37,1.77,27.46,0.52
CNXN,2019.4,15.92,0.46,2.18,119.47,0.57
CNXN,2019.3,12.51,0.36,1.73,52.14,0.49
CNXN,2019.2,12.89,0.34,1.62,39.85,0.63
CNXN,2019.1,14.66,0.36,1.78,21.56,0.54
CNXN,2018.4,12.18,0.29,1.47,12.02,0.53
CNXN,2018.3,15.96,0.37,1.94,19.38,0.43
CNXN,2018.2,13.74,0.31,1.7,16.3,0.53
CNXN,2018.1,11.15,0.23,1.32,41.65,0.43
CNXN,2017.4,12.49,0.24,1.43,91.59,0.55
CNXN,2017.3,15.36,0.25,1.55,66.23,0.47
CNXN,2017.2,14.58,0.24,1.53,0,0.56
CNXN,2017.1,16.41,0.28,1.74,31.87,0.53
CNXN,2016.4,14.96,0.27,1.66,33.35,0.58
CNXN,2016.3,13.75,0.25,1.56,19.59,0.51
CNXN,2016.2,12.53,0.23,1.45,31.77,0.62
CNXN,2016.1,13.81,0.26,1.62,31.28,0.42
CNXN,2015.4,12.25,0.22,1.46,30.99,0.63
CNXN,2015.3,11.41,0.2,1.32,26.22,0.57
CNXN,2015.2,13.86,0.25,1.63,29.09,0.6
CNXN,2015.1,14.71,0.26,1.77,26.59,0.47
CNXN,2014.4,14.27,0.25,1.71,21.91,0.53
CNXN,2014.3,12.9,0.22,1.48,0,0.48
CNXN,2014.2,12.94,0.21,1.47,75.74,0.61
CNXN,2014.1,13.44,0.22,1.5,29.13,0.5
CNXN,2013.4,16.93,0.27,1.87,50.04,0.57
CNXN,2013.3,10.41,0.16,1.12,8.93,0.55
CNXN,2013.2,10.91,0.17,1.18,22.78,0.59
CNXN,2013.1,11.73,0.18,1.29,15.36,0.5
CNXN,2012.4,8.38,0.13,0.92,4.57,0.61
CNXN,2012.3,8.44,0.12,0.89,10.01,0.61
CNXN,2012.2,7.92,0.11,0.85,10.02,0.68
CNXN,2012.1,6.4,0.09,0.68,19.64,0.61
CNXN,2011.4,8.96,0.12,0.93,0,0.71
CNXN,2011.3,6.33,0.09,0.64,21.9,0.7
CNXN,2011.2,6.76,0.09,0.69,13.75,0.71
CNXN,2011.1,8.01,0.1,0.76,29.44,0.64
CNXN,2010.4,8.77,0.1,0.77,0,0.63
CNXN,2010.3,7.77,0.08,0.63,0,0.81
CNXN,2010.2,9.62,0.08,0.58,0,0.72
CNXN,2010.1,47.42,0.09,0.6,0,0.62
CNXN,2009.4,0,0.1,0.65,0,0.71
CNXN,2009.3,0,0.08,0.54,6.23,0.64
CNXN,2009.2,0,0.07,0.53,4.33,0.63
CNXN,2009.1,9.99,0.05,0.37,1.78,0.51
CNXN,2008.4,7.69,0.07,0.49,3.33,0.61
CNXN,2008.3,7.82,0.08,0.65,6.32,0.68
CNXN,2008.2,8.9,0.12,0.91,8.7,0.67
CNXN,2008.1,7.4,0.1,0.8,0,0.56
CNXN,2007.4,11.23,0.14,1.15,0,0.7
CNXN,2007.3,13.31,0.16,1.32,29.02,0.73
CNXN,2007.2,16.38,0.17,1.45,19.09,0.68
